Lecture Name,Week #,Lecture Link
Lecture 1,Week 1,https://hello.iitk.ac.in/eso207a21/#/lecture/6
Lecture 1 (Long Version),Week 1,https://hello.iitk.ac.in/eso207a21/#/lecture/7
Lecture 2,Week 1,https://hello.iitk.ac.in/eso207a21/#/lecture/9
Lecture 2 (Long Version),Week 1,https://hello.iitk.ac.in/eso207a21/#/lecture/10
Lecture 3,Week 1,https://hello.iitk.ac.in/eso207a21/#/lecture/13
Lecture 3 (Long Version),Week 1,https://hello.iitk.ac.in/eso207a21/#/lecture/14
Lecture 4,Week 2,https://hello.iitk.ac.in/eso207a21/#/lecture/18
Lecture 4 (Long Version),Week 2,https://hello.iitk.ac.in/eso207a21/#/lecture/19
Lecture 5,Week 2,https://hello.iitk.ac.in/eso207a21/#/lecture/21
Lecture 5 (Long Version),Week 2,https://hello.iitk.ac.in/eso207a21/#/lecture/22
Lecture 6,Week 2,https://hello.iitk.ac.in/eso207a21/#/lecture/26
Lecture 6 (Long Version),Week 2,https://hello.iitk.ac.in/eso207a21/#/lecture/37
Lecture 7,Week 3,https://hello.iitk.ac.in/eso207a21/#/lecture/35
Lecture 7 (Long Version),Week 3,https://hello.iitk.ac.in/eso207a21/#/lecture/36
Lecture 8,Week 3,https://hello.iitk.ac.in/eso207a21/#/lecture/34
Lecture 8 (Long Version),Week 3,https://hello.iitk.ac.in/eso207a21/#/lecture/39
